case_id,partition,canonical_group,paper_title,year,direction,problem_class,category,formulation_type,application_field,runtime_quartile,size_quartile,task_median_runtime_seconds,large_median_runtime_seconds,avg_num_var,avg_num_int_var,avg_num_constr,source_link
adulyasak2015,train,adulyasak2015,Benders Decomposition for Production Routing Under Demand Uncertainty,2015,min,Lot Sizing / Inventory,operational,Stochastic/Robust/DRO,Supply Chain & Inventory,Q4,Q4,3613.76,3614.41,920934.0,8934.0,953310.0,https://doi.org/10.1287/opre.2015.1401
alba2013,train,alba2013,A Branch-and-Cut Algorithm for the Double Traveling Salesman Problem with Multiple Stacks,2013,min,Vehicle Routing & TSP,operational,MIP,Transportation & Logistics,Q2,Q1,304.405,499.9,840.0,840.0,544.0,https://doi.org/10.1287/ijoc.1110.0489
alfieri2020,train,alfieri2020,Enhancing Column Generation by a Machine-Learning-Based Pricing Heuristic for Graph Coloring,2022,min,Graph Optimization,operational,IP,Foundational / Theoretical,Q4,Q4,3607.45,3609.59,36018.0,36018.0,721747.0,https://doi.org/10.1609/aaai.v36i9.21230
amaldi2013,train,amaldi2013,Column Generation for the Minimum Hyperplanes Clustering Problem,2013,min,Other (Clustering),planning,MIP,Foundational / Theoretical,Q4,Q2,3601.105,3601.32,10300.0,10050.0,30249.0,https://doi.org/10.1287/ijoc.1120.0513
araujo2015,train,araujo2015,Period Decompositions for the Capacitated Lot Sizing Problem with Setup Times,2015,min,Lot Sizing / Inventory,planning,MIP,Manufacturing & Production,Q3,Q1,3600.7650000000003,3600.82,2172.0,720.0,1512.0,https://pubsonline.informs.org/doi/10.1287/ijoc.2014.0636
araujo2020,test,araujo2020,Strong Bounds for Resource Constrained Project Scheduling: Preprocessing and Cutting Planes,2020,min,Other (Project Scheduling),strategic,MIP,Manufacturing & Production,Q1,Q4,35.235,54.31,290244.0,290244.0,146754.0,https://doi.org/10.1016/j.cor.2019.104782
archetti2007,train,archetti2007,A Branch-and-Cut Algorithm for a Vendor-Managed Inventory-Routing Problem,2007,min,Lot Sizing / Inventory,operational,MIP,Supply Chain & Inventory,Q3,Q2,2215.875,2996.36,8613.0,7956.0,11981.0,https://doi.org/10.1287/trsc.1060.0188
armbruster2012,train,armbruster2012,LP and SDP branch-and-cut algorithms for the minimum graph bisection problem: a computational comparison,2012,min,Graph Optimization,planning,SDP,Foundational / Theoretical,Q4,Q4,3614.51,3615.76,129581.0,129581.0,451734.0,https://link.springer.com/article/10.1007/s12532-012-0040-5
arslan2021,train,arslan2021,Decomposition-based approaches for a class of two-stage robust binary optimization problems,2022,min,Stochastic / Robust / Bilevel Optimization,planning,Stochastic/Robust/DRO,Foundational / Theoretical,Q1,Q1,23.649550319183618,27.483967878855765,1081.0,270.0,811.0,https://doi.org/10.1287/ijoc.2021.1061
bard2002,test,bard2002,A Branch-and-Cut Procedure for the Vehicle Routing Problem with Time Windows,2002,min,Vehicle Routing & TSP,operational,MIP,Transportation & Logistics,Q3,Q2,3600.5407092231326,3600.591076553799,3998.0,3798.0,13699.0,https://doi.org/10.1287/trsc.36.2.250.565
barnhart2000,train,barnhart2000,Using Branch-and-Price-and-Cut to Solve Origin-Destination Integer Multicommodity Flow Problems,2000,min,Network Design & Flow,planning,IP,Transportation & Logistics,Q2,Q3,280.47499999999997,543.18,76635.0,76635.0,29380.0,https://doi.org/10.1287/opre.48.2.318.12378
bayani2024,train,bayani2024,A Dual Bounding Framework Through Cost Splitting for Binary Quadratic Optimization,2024,min,Other (Quadratic Optimization),planning,QP/MIQP,Foundational / Theoretical,Q4,Q3,3601.3599999999997,3601.49,74725.0,700.0,222125.0,https://doi.org/10.1287/ijoc.2021.0186
belhoul2014,train,belhoul2014,An efficient procedure for finding best compromise solutions to the multi-objective assignment problem,2014,min,Other (Assignment),strategic,IP,Foundational / Theoretical,Q1,Q3,41.915,49.42,1265626.0,1265625.0,2252.0,https://doi.org/10.1016/j.cor.2014.03.013
belvaux2000,test,belvaux2000,bc-prod: A Specialized Branch-and-Cut System for Lot-Sizing Problems,2000,min,Lot Sizing / Inventory,strategic,MIP,Manufacturing & Production,Q3,Q1,3600.215,3600.23,3300.0,1800.0,3990.0,https://doi.org/10.1287/mnsc.46.5.724.12048
bentert2022,train,bentert2022,Parameterized Algorithms for Power-Efficiently Connecting Wireless Sensor Networks: Theory and Experiments,2022,min,Graph Optimization,planning,MIP,Telecommunications & Networking,Q3,Q2,1916.88,3574.69,8177.0,2701.0,10878.0,https://doi.org/10.1287/ijoc.2020.1045
bergman2019,train,bergman2019,An Exact Algorithm for the Quadratic Multiknapsack Problem with an Application to Event Seating,2019,max,Packing / Cutting Stock,operational,QP/MIQP,Sports & Entertainment,Q3,Q1,3600.16,3600.17,350.0,350.0,45.0,https://doi.org/10.1287/ijoc.2018.0840
bertsimas2022,test,bertsimas2022,A Scalable Algorithm for Sparse Portfolio Selection,2022,min,Portfolio Optimization,strategic,MIP,Finance & Investment,Q4,Q1,3606.96,3606.96,3000.0,1000.0,2.0,https://doi.org/10.1287/ijoc.2021.1127
